Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
70LZH8,Personenauto,VOLKSWAGEN,GOLF,20131108,stationwagen,5,GRIJS,4,"1,390",M1
05HPV8,Personenauto,VOLVO,V50,20220709,stationwagen,5,ZWART,4,"1,997",M1
65TRN4,Personenauto,AUDI,AUDI A3,20171124,stationwagen,5,BLAUW,4,"1,390",M1
XR623V,Personenauto,MERCEDES-BENZ,A 180,20200508,stationwagen,5,GRIJS,4,"1,332",M1
4VZD91,Bedrijfsauto,RENAULT,KANGOO,20180106,gesloten opbouw,2,N.v.t.,4,"1,461",N1
KK936D,Personenauto,TOYOTA,TOYOTA YARIS HYBRID,20161008,MPV,5,GRIJS,4,"1,497",M1
RL927N,Personenauto,CITROEN,C3,20180112,hatchback,5,GRIJS,3,"1,199",M1
TXJ83B,Land- of bosbouwtrekker,FENDT,FARMER 309 CI,20220709,Niet geregistreerd,,N.v.t.,,,T
1KLT53,Personenauto,TOYOTA,TOYOTA YARIS,20181127,MPV,5,ROOD,3,998,M1
FLK91G,Bromfiets,LA SOURIS,SOURINI R,20220709,N.v.t.,2,N.v.t.,1,50,L1
23XBP9,Personenauto,OPEL,AGILA,20120511,stationwagen,5,BLAUW,4,"1,242",M1
MTJJ37,Motorfiets,YAMAHA,XV1600A,20170627,Niet geregistreerd,2,N.v.t.,2,"1,602",L3
PP449D,Personenauto,OPEL,KARL / VIVA,20170811,hatchback,5,ROOD,3,999,M1
26FFTX,Personenauto,VOLKSWAGEN,GOLF,20220408,stationwagen,5,ZWART,4,"1,595",M1
40BNBG,Bedrijfsauto,OPEL,VIVARO 2.5DTI 2.9T L2H1CREWCAB,20150918,gesloten opbouw,6,N.v.t.,4,"2,463",N1
LPP62B,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220407,Niet geregistreerd,,N.v.t.,,,R
DG838T,Bromfiets,VELOSOLEX,5000,20060914,N.v.t.,,N.v.t.,,49,L1
V163JP,Bedrijfsauto,OPEL,COMBO VAN,20171017,gesloten opbouw,2,N.v.t.,4,"1,248",N1
TH567H,Personenauto,BMW,318I,20220531,sedan,5,ZWART,3,"1,499",M1
5ZSG39,Personenauto,BMW,518D,20210717,sedan,5,ZWART,4,"1,995",M1
56HPZP,Personenauto,RENAULT,CLIO,20130812,hatchback,5,GRIJS,4,"1,390",M1
XK953L,Personenauto,AUDI,A3 CABRIOLET,20210301,cabriolet,4,GRIJS,4,"1,798",M1
32RNR1,Personenauto,PEUGEOT,308,20200608,MPV,5,ZWART,4,"1,598",M1
L408KF,Personenauto,HYUNDAI,IX35,20220329,MPV,5,GRIJS,4,"1,591",M1
VR707S,Bedrijfsauto,MERCEDES-BENZ,VITO,20220407,gesloten opbouw,3,N.v.t.,4,"2,143",N1
V085JB,Bedrijfsauto,VOLKSWAGEN,CADDY,20211101,gesloten opbouw,2,N.v.t.,4,"1,968",N1
78SLP9,Personenauto,SEAT,IBIZA,20170908,MPV,5,ZWART,4,"1,197",M1
77SZDG,Personenauto,OPEL,ASTRA,20160205,hatchback,5,ROOD,4,"1,364",M1
H822HB,Personenauto,TOYOTA,TOYOTA AYGO,20211209,hatchback,4,BLAUW,3,998,M1
31PDNL,Personenauto,NISSAN,NISSAN MICRA,20040512,hatchback,5,ORANJE,4,"1,386",M1
V718HT,Bedrijfsauto,MERCEDES-BENZ,ML 320 CDI 4MATIC,20220322,gesloten opbouw,2,N.v.t.,6,"2,987",N1
DN296Z,Bromfiets,APRILIA,SR AC,20190403,N.v.t.,,N.v.t.,,49,L1
JJ151Z,Personenauto,MERCEDES-BENZ,C 220 BLUETEC,20220709,sedan,5,ZWART,4,"2,143",M1
P001KG,Personenauto,TOYOTA,TOYOTA AURIS,20220709,MPV,5,WIT,4,"1,798",M1
FHK85B,Bromfiets,SPYDER WHEELZ,SPYDER RENT GROUP NEDERLAND BV,20210706,N.v.t.,1,N.v.t.,,,L1
23TTB2,Personenauto,HYUNDAI,I 30,20160908,MPV,5,ZWART,4,"1,591",M1
69XLZ1,Personenauto,OPEL,ASTRA,20161008,hatchback,5,ZWART,4,"1,362",M1
78ZDXR,Personenauto,FORD,C-MAX,20210714,MPV,5,GRIJS,4,"1,999",M1
VF083S,Bedrijfsauto,FUSO,CANTER,20201014,neerklapbare zijschotten,3,N.v.t.,4,"2,998",N1
TTP79J,Land- of bosbouwtrekker,CASE,ONBEKEND,20211201,Niet geregistreerd,,N.v.t.,,,T
GP567N,Personenauto,AUDI,AUDI A5,20180505,hatchback,4,ZWART,4,"1,984",M1
