Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
45GBX1,Personenauto,OPEL,ASTRA GTC,20190308,coupe,5,ZWART,4,"1,796",M1
96XPG9,Personenauto,SUZUKI,SPLASH,20220222,stationwagen,5,BLAUW,3,996,M1
V243FN,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20170323,open laadvloer,3,N.v.t.,4,"1,968",N1
VJ309T,Bedrijfsauto,VOLKSWAGEN,CADDY,20220525,gesloten opbouw,2,N.v.t.,4,"1,598",N1
JV401K,Personenauto,RENAULT,TWINGO,20201120,hatchback,4,ZWART,3,999,M1
61THKT,Personenauto,CITROEN,CITROEN C1,20220709,hatchback,4,ZWART,3,998,M1
98PJD2,Personenauto,PEUGEOT,206+,20150604,hatchback,5,GRIJS,4,"1,360",M1
SPGR69,Personenauto,VOLKSWAGEN,POLO 44 KW,20170505,hatchback,,WIT,4,"1,390",M1
12RDK9,Personenauto,RENAULT,MEGANE,20150226,stationwagen,5,GRIJS,4,"1,461",M1
32LJRF,Personenauto,FORD,FOCUS,20220218,hatchback,5,ZWART,4,"1,388",M1
VB784V,Bedrijfsauto,RENAULT,KANGOO,20220707,gesloten opbouw,2,N.v.t.,4,"1,461",N1
39TKHS,Personenauto,FIAT,FIAT PANDA,20210217,hatchback,4,ZWART,4,"1,242",M1
31TJT8,Personenauto,SUZUKI,SWIFT,20201204,hatchback,5,ZWART,4,"1,242",M1
2KXX98,Personenauto,MINI,MINI,20180203,hatchback,4,WIT,4,"1,598",M1
1SPH48,Personenauto,FORD,FIESTA,20131116,hatchback,5,GRIJS,4,"1,242",M1
03PPD8,Personenauto,MITSUBISHI,MITSUBISHI ASX,20110304,stationwagen,5,GRIJS,4,"1,590",M1
SG772P,Personenauto,SKODA,KODIAQ,20180407,stationwagen,5,GROEN,4,"1,395",M1
GH119B,Personenauto,VOLKSWAGEN,UP,20151102,hatchback,4,ROOD,3,999,M1
VS354L,Bedrijfsauto,VOLKSWAGEN,CRAFTER,20210210,gesloten opbouw,3,N.v.t.,4,"1,968",N1
1ZNL33,Personenauto,CITROEN,CITROEN C1,20210220,hatchback,4,WIT,3,998,M1
72XHHB,Personenauto,SUZUKI,SWIFT,20140306,hatchback,4,ROOD,4,"1,328",M1
SB439G,Personenauto,TESLA,MODEL X,20180309,MPV,7,ZWART,,,M1
80PKRX,Personenauto,TOYOTA,TOYOTA COROLLA VERSO,20190916,stationwagen,7,GRIJS,4,"1,794",M1
83HBT9,Personenauto,AUDI,AUDI A6,20200701,stationwagen,5,BLAUW,4,"1,984",M1
51NRX5,Personenauto,RENAULT,CLIO,20101105,hatchback,5,GRIJS,4,"1,149",M1
VFP05K,Bedrijfsauto,RENAULT,KANGOO,20200317,gesloten opbouw,2,N.v.t.,4,"1,461",N1
83ZKDJ,Personenauto,SKODA,FABIA,20140221,hatchback,5,ROOD,4,"1,390",M1
GJ333N,Personenauto,VOLKSWAGEN,22,20220217,stationwagen,2,ZWART,4,"1,957",M1
V060VB,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20190314,gesloten opbouw,3,N.v.t.,4,"1,968",N1
XLDV75,Personenauto,VOLKSWAGEN,LUPO,20211004,hatchback,4,BLAUW,4,997,M1
V681HT,Bedrijfsauto,RENAULT,TRAFIC,20170824,gesloten opbouw,3,N.v.t.,4,"1,598",N1
87TKJH,Personenauto,BMW,3ER REIHE,20210226,stationwagen,5,ZWART,4,"1,995",M1
25RRD7,Personenauto,VOLKSWAGEN,GOLF,20220525,stationwagen,5,GRIJS,4,"1,390",M1
6VXB53,Bedrijfsauto,PEUGEOT,PARTNER,20191108,gesloten opbouw,3,N.v.t.,4,"1,560",N1
95STHZ,Personenauto,SUZUKI,SWIFT,20170721,hatchback,5,ZWART,4,"1,328",M1
22PLB5,Personenauto,PEUGEOT,PEUGEOT 107,20171004,hatchback,4,GRIJS,3,998,M1
XK171L,Personenauto,VOLKSWAGEN,POLO,20220222,hatchback,5,GRIJS,3,999,M1
24LVPG,Personenauto,ROVER,ROVER 75,20050117,sedan,5,BLAUW,4,"1,796",M1
94SNKR,Personenauto,FORD,FIESTA,20121227,hatchback,5,ORANJE,4,"1,299",M1
3TKF47,Personenauto,MAZDA,MAZDA3,20140307,hatchback,5,ZWART,4,"1,998",M1
64HRJ5,Personenauto,HYUNDAI,I 10,20220709,MPV,5,ROOD,4,"1,086",M1
NX251D,Personenauto,TOYOTA,TOYOTA AYGO,20220221,hatchback,4,WIT,3,998,M1
53JTB2,Personenauto,RENAULT,MEGANE SCENIC,20200314,MPV,7,ZWART,4,"1,397",M1
KX984G,Personenauto,MERCEDES-BENZ,GLA 180,20161216,stationwagen,5,ZWART,4,"1,595",M1
27XTGB,Personenauto,OPEL,CORSA,20180322,MPV,5,GRIJS,4,"1,364",M1
4XDG98,Personenauto,AUDI,A3 SPORTBACK G-TRON,20170405,hatchback,5,ZWART,4,"1,395",M1
THK24T,Land- of bosbouwtrekker,YANMAR,YM1600,20220324,Niet geregistreerd,,N.v.t.,,,T
TZ042B,Personenauto,OPEL,KARL / VIVA,20220330,hatchback,5,WIT,3,999,M1
34NPHF,Personenauto,TOYOTA,TOYOTA COROLLA VERSO,20210501,stationwagen,5,GRIJS,4,"1,794",M1
1ZLH11,Personenauto,BMW,220I ACTIVE TOURER,20150116,stationwagen,5,GRIJS,4,"1,998",M1
31BBP2,Bus,MAN,LIONS COACH,20130311,bus,51,N.v.t.,6,"10,518",M3
MTHG63,Motorfiets,BUELL,XB 12R FIREBOLT,20220222,Niet geregistreerd,2,N.v.t.,2,"1,203",L3
1KSB40,Personenauto,KIA,CEE D,20211216,hatchback,5,GRIJS,4,"1,591",M1
54RXLT,Personenauto,BUERSTNER,TEILINTEGRIERT,20201107,kampeerwagen,6,WIT,4,"2,800",M1
26NVTP,Personenauto,TOYOTA,TOYOTA AVENSIS,20040310,stationwagen,5,GRIJS,4,"1,998",M1
56JPN2,Personenauto,NISSAN,NISSAN NOTE,20121026,MPV,5,ZWART,4,"1,598",M1
71DJD3,Bromfiets,PEUGEOT,SPEED FIGHT 45 KM,20220219,N.v.t.,,N.v.t.,,49,L1
17NDR4,Personenauto,AUDI,AUDI A3 CABRIOLET,20220220,cabriolet,4,GRIJS,4,"1,798",M1
05NVLG,Personenauto,MAZDA,MAZDA 3,20110713,hatchback,5,BLAUW,4,"1,598",M1
8XNT36,Personenauto,TESLA MOTORS,MODEL S,20140929,hatchback,5,ZWART,,,M1
93VPJ2,Bedrijfsauto,RENAULT,KANGOO 1.5 DCI 45KW E4,20220612,gesloten opbouw,2,N.v.t.,4,"1,461",N1
80PFZS,Personenauto,VOLKSWAGEN,GOLF,20220524,hatchback,5,ZWART,4,"1,984",M1
FZ606P,Bromfiets,SYM,AV05W,20210929,N.v.t.,2,N.v.t.,1,50,L1
JH769X,Personenauto,RENAULT,CLIO,20211230,hatchback,5,ROOD,4,"1,149",M1
40RPLR,Personenauto,CHEVROLET,KALOS,20190228,hatchback,5,ROOD,4,"1,399",M1
GF080N,Personenauto,PEUGEOT,2008,20200715,stationwagen,5,GRIJS,3,"1,199",M1
97SGT7,Personenauto,BMW,320I,20220329,sedan,5,GRIJS,4,"1,995",M1
20KTN7,Personenauto,NISSAN,NISSAN NOTE,20190319,MPV,5,BLAUW,4,"1,598",M1
HZ055B,Personenauto,TOYOTA,TOYOTA AVENSIS,20160517,MPV,5,GRIJS,4,"1,598",M1
47DRNS,Personenauto,VOLKSWAGEN,GOLF,20120705,stationwagen,5,GEEL,4,"1,896",M1
PL263N,Personenauto,MERCEDES-BENZ,C 180 D,20200220,sedan,5,GRIJS,4,"1,598",M1
XS930G,Personenauto,RENAULT,CAPTUR,20191126,hatchback,5,GRIJS,4,"1,332",M1
KJ955G,Personenauto,RENAULT,CLIO,20200506,hatchback,5,ROOD,3,898,M1
XD880D,Personenauto,VOLKSWAGEN,GOLF,20210517,stationwagen,5,GRIJS,4,"1,395",M1
43LSZ9,Personenauto,PEUGEOT,PEUGEOT 107,20211112,hatchback,4,WIT,3,998,M1
27HVJ2,Personenauto,TOYOTA,TOYOTA PRIUS,20220222,hatchback,5,GRIJS,4,"1,497",M1
67XJHZ,Personenauto,PEUGEOT,207,20220222,hatchback,5,BLAUW,4,"1,598",M1
TB599R,Personenauto,OPEL,CORSA,20200302,hatchback,5,WIT,4,"1,229",M1
75MBNZ,Motorfiets,TRIUMPH,SPEED TRIPLE,20190830,Niet geregistreerd,2,N.v.t.,3,"1,050",L3
43NZBG,Personenauto,TOYOTA,TOYOTA YARIS VERSO,20110930,stationwagen,5,ZWART,4,"1,299",M1
JG453J,Personenauto,TESLA MOTORS,MODEL S,20181024,hatchback,5,BLAUW,,,M1
96GPV7,Personenauto,BMW,5ER REIHE,20160326,stationwagen,5,ZWART,4,"1,995",M1
G784FP,Personenauto,TESLA,MODEL 3,20190918,sedan,5,WIT,,,M1
4VNR20,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20120410,gesloten opbouw,3,N.v.t.,4,"1,968",N1
88NVDK,Personenauto,SUZUKI,IGNIS,20050210,stationwagen,5,GRIJS,4,"1,328",M1
80NVH6,Personenauto,CITROEN,DS3,20180519,hatchback,5,WIT,4,"1,598",M1
HV248X,Personenauto,MAZDA,MAZDA2,20160409,hatchback,5,GRIJS,4,"1,496",M1
JN196F,Personenauto,VOLKSWAGEN,POLO,20200618,hatchback,5,GRIJS,3,999,M1
XV927H,Personenauto,KIA,PICANTO,20190328,MPV,4,GRIJS,3,998,M1
8KFD82,Personenauto,OPEL,MOKKA,20180602,stationwagen,5,ZWART,4,"1,364",M1
7SXH66,Personenauto,TOYOTA,TOYOTA AYGO,20210320,hatchback,4,BRUIN,3,998,M1
29HVF3,Personenauto,FORD,FOCUS,20090306,cabriolet,4,ZWART,4,"1,596",M1
41VGV6,Bedrijfsauto,MERCEDES-BENZ,ML 320 CDI 4 MATIC,20160411,gesloten opbouw,5,N.v.t.,6,"2,987",N1
ZJBG91,Personenauto,VOLKSWAGEN,LUPO,20191218,hatchback,4,ZWART,4,"1,390",M1
XF292R,Personenauto,PEUGEOT,207,20190409,hatchback,5,ZWART,4,"1,397",M1
XZ217L,Personenauto,FORD,FIESTA,20190417,hatchback,5,WIT,4,"1,242",M1
29HPB8,Personenauto,HYUNDAI,I20,20160108,MPV,5,GRIJS,4,"1,396",M1
RZ457G,Personenauto,VOLKSWAGEN,POLO,20180306,hatchback,5,ZWART,3,999,M1
75HNS9,Personenauto,BMW,3ER REIHE,20200620,sedan,5,ZWART,4,"1,995",M1
7XTH45,Personenauto,MERCEDES-BENZ,A 180,20220222,stationwagen,5,GRIJS,4,"1,595",M1
PD680B,Personenauto,FORD,KA,20220617,MPV,4,ZWART,4,"1,242",M1
OJ32HR,Oplegger,PACTON,T3-001,20170526,open wagen,,N.v.t.,,,O4
JH025K,Personenauto,SUZUKI,ALTO,20171011,hatchback,4,ZWART,3,996,M1
3SFX99,Personenauto,SKODA,OCTAVIA,20170815,stationwagen,5,BRUIN,4,"1,197",M1
59NXK7,Personenauto,TOYOTA,TOYOTA PRIUS,20130703,hatchback,5,ZWART,4,"1,798",M1
5VPK99,Bedrijfsauto,DODGE,DODGE RAM 1500,20200402,open wagen,5,N.v.t.,8,"5,654",N1
54VKZ8,Bedrijfsauto,FIAT,DOBLO 1.3 JTD,20220330,gesloten opbouw,2,N.v.t.,4,"1,248",N1
TL8810,Motorfiets,PUCH,250 SG,20220319,Niet geregistreerd,,N.v.t.,1,248,L3
RT141R,Personenauto,SEAT,IBIZA,20220218,hatchback,5,ROOD,4,"1,598",M1
RBGH12,Personenauto,BMW,3ER REIHE,20030731,hatchback,,ZWART,4,,M1
V799SR,Bedrijfsauto,MERCEDES-BENZ,VITO,20191101,gesloten opbouw,3,N.v.t.,4,"2,143",N1
TS164F,Personenauto,MINI,COOPER S,20220221,stationwagen,5,BLAUW,4,"1,998",M1
45JBVP,Personenauto,FORD,FOCUS,20020214,sedan,5,GRIJS,4,"1,796",M1
ZL756H,Personenauto,VOLKSWAGEN,PASSAT,20210507,stationwagen,5,GRIJS,4,"1,798",M1
99SLJS,Personenauto,TOYOTA,TOYOTA YARIS,20100804,MPV,5,GRIJS,4,"1,298",M1
7VHT20,Bedrijfsauto,VOLKSWAGEN,CADDY 55 KW BESTEL,20220709,gesloten opbouw,2,N.v.t.,4,"1,896",N1
24BNHX,Bedrijfsauto,FIAT,244,20190525,kampeerwagen,,N.v.t.,4,,N1
50JTR3,Personenauto,TOYOTA,LANDCRUISER,20220408,stationwagen,8,BEIGE,6,"4,477",M1
28KJZ2,Personenauto,PEUGEOT,PEUGEOT 107,20091230,hatchback,4,ORANJE,3,998,M1
TR856K,Personenauto,PEUGEOT,3008,20211202,MPV,5,GRIJS,4,"1,598",M1
56PNZ7,Personenauto,FORD,KA,20180504,MPV,4,ZWART,4,"1,242",M1
08SXTD,Personenauto,VOLKSWAGEN,PASSAT,20120801,stationwagen,5,ZWART,4,"1,896",M1
XZ246Z,Personenauto,OPEL,KARL / VIVA,20190419,hatchback,5,WIT,3,999,M1
RG433L,Personenauto,PEUGEOT,5008,20171124,MPV,7,GRIJS,4,"1,560",M1
2VLR44,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20170225,gesloten opbouw,6,N.v.t.,4,"1,968",N1
HL190S,Personenauto,VOLKSWAGEN,PASSAT,20220222,stationwagen,5,ZWART,4,"1,395",M1
81PSJ5,Personenauto,SUZUKI,SWIFT,20211221,hatchback,5,WIT,4,"1,242",M1
FLB68J,Bromfiets,E-MAX,N/A,20220520,N.v.t.,2,N.v.t.,,,L1
48RHF9,Personenauto,RENAULT,MEGANE,20110607,stationwagen,5,GRIJS,4,"1,397",M1
11HLB1,Personenauto,VOLKSWAGEN,TIGUAN,20090701,stationwagen,5,ZWART,4,"1,390",M1
G380SK,Personenauto,TESLA,MODEL 3,20191211,sedan,5,ZWART,,,M1
3KDK94,Personenauto,FIAT,500 L,20181207,MPV,5,ROOD,2,875,M1
18XBDZ,Personenauto,MERCEDES-BENZ,SLK 200 KOMPRESSOR,20070320,cabriolet,2,GRIJS,4,"1,796",M1
VZ030P,Bedrijfsauto,RENAULT,MASTER,20220113,gesloten opbouw,3,N.v.t.,4,"2,299",N1
11XKVR,Personenauto,HYUNDAI,GETZ,20130307,hatchback,5,BLAUW,4,"1,086",M1
98PZJ3,Personenauto,FIAT,FIAT 500,20130803,hatchback,4,ZWART,2,875,M1
N359RR,Personenauto,TESLA,MODEL Y,20211224,MPV,5,GRIJS,,,M1
32PHR5,Personenauto,PEUGEOT,PEUGEOT 107,20130710,hatchback,4,WIT,3,998,M1
PD871T,Personenauto,RENAULT,CLIO,20170608,stationwagen,5,WIT,4,"1,461",M1
HL451K,Personenauto,TESLA MOTORS,MODEL S,20210710,hatchback,5,GRIJS,,,M1
28TPK3,Personenauto,CITROEN,C-CROSSER,20211231,stationwagen,5,GRIJS,4,"2,360",M1
VL297Z,Bedrijfsauto,FIAT,FIAT DUCATO,20150219,gesloten opbouw,3,N.v.t.,4,"2,287",N1
RS881H,Personenauto,SEAT,MII,20180116,hatchback,4,GEEL,3,999,M1
XJ061T,Personenauto,BMW,530I XDRIVE,20190111,sedan,5,BLAUW,4,"1,998",M1
07ZJTL,Personenauto,VOLKSWAGEN,GOLF,20170715,stationwagen,5,GRIJS,4,"1,390",M1
65PNJG,Personenauto,KIA,PICANTO,20160301,MPV,5,GRIJS,4,"1,086",M1
63JJFS,Personenauto,VOLKSWAGEN,GOLF CABR. 55KW,20100403,cabriolet,,ZWART,4,"1,595",M1
V799XD,Bedrijfsauto,NISSAN,NISSAN NV300,20191010,gesloten opbouw,3,N.v.t.,4,"1,598",N1
3VTS12,Bedrijfsauto,VOLKSWAGEN,CADDY,20181128,gesloten opbouw,2,N.v.t.,4,"1,598",N1
55MNZL,Motorfiets,BMW,F 900 R,20220506,Niet geregistreerd,2,N.v.t.,2,895,L3
PZ477F,Personenauto,RENAULT,SCENIC,20220709,hatchback,5,GRIJS,4,"1,197",M1
10XZNB,Personenauto,TOYOTA,TOYOTA YARIS,20220221,MPV,5,BLAUW,4,"1,298",M1
V935NB,Bedrijfsauto,IVECO,35S12,20180607,gesloten opbouw,3,N.v.t.,4,"2,287",N1
40RTLD,Personenauto,MERCEDES-BENZ,220 D,20200820,sedan,,GROEN,4,,M1
HG671B,Personenauto,AUDI,AUDI S3,20200821,stationwagen,5,WIT,4,"1,984",M1
NL740V,Personenauto,RENAULT,MEGANE,20170307,stationwagen,5,BLAUW,4,"1,197",M1
15HRVR,Personenauto,MICRO COMPACT CAR SMART,SMART,20180303,cabriolet,2,GRIJS,3,599,M1
PR863G,Personenauto,MERCEDES-BENZ,S 350 D 4MATIC,20170831,sedan,5,ZWART,6,"2,925",M1
KL912D,Personenauto,VOLKSWAGEN,POLO,20220121,hatchback,5,ROOD,3,999,M1
03LBL6,Personenauto,SEAT,ALTEA XL,20160806,MPV,5,ZWART,4,"1,390",M1
PR387D,Personenauto,RENAULT,ZOE,20181208,hatchback,5,ZWART,,,M1
ST686D,Personenauto,PEUGEOT,3008,20220218,MPV,5,BLAUW,3,"1,199",M1
RX695D,Personenauto,OPEL,KARL / VIVA,20190830,hatchback,5,ZWART,3,999,M1
L010HX,Personenauto,MERCEDES-BENZ,A 220,20210529,stationwagen,5,ZWART,4,"1,991",M1
KL217P,Personenauto,CITROEN,CITROEN C1,20190621,hatchback,4,GRIJS,3,998,M1
78TSZT,Personenauto,KIA,CEE D,20191216,MPV,5,BEIGE,4,"1,396",M1
02LNKF,Personenauto,SUZUKI,ALTO,20220222,hatchback,4,ZWART,4,"1,061",M1
44TFFZ,Personenauto,PEUGEOT,207,20220401,hatchback,5,ROOD,4,"1,360",M1
RR895J,Personenauto,TOYOTA,TOYOTA AYGO,20210526,hatchback,4,GRIJS,3,998,M1
3KSG02,Personenauto,FIAT,PANDA,20140423,MPV,4,BLAUW,2,875,M1
RT355G,Personenauto,SEAT,LEON ST,20180130,stationwagen,5,GRIJS,4,"1,395",M1
8ZGK12,Personenauto,SUZUKI,ALTO,20220408,hatchback,4,ZWART,3,996,M1
H734RG,Personenauto,SAAB,SAAB 9-3,20200401,cabriolet,4,GRIJS,4,"1,910",M1
RR412B,Personenauto,MAZDA,MAZDA CX-5,20180222,stationwagen,5,GRIJS,4,"1,998",M1
51JPS9,Personenauto,MERCEDES-BENZ,C 180 KOMPRESSOR,20180312,sedan,5,ZWART,4,"1,796",M1
23LHT8,Personenauto,SEAT,ALTEA XL,20160311,MPV,5,ZWART,4,"1,390",M1
G845RB,Personenauto,TESLA,MODEL 3,20191217,sedan,5,WIT,,,M1
73RNP4,Personenauto,FIAT,FIAT PUNTO,20220608,MPV,5,BLAUW,4,"1,248",M1
VVZL43,Bedrijfsauto,MERCEDES-BENZ,208 D,20210417,kampeerwagen,,N.v.t.,4,"2,299",N1
08TKDL,Personenauto,SUZUKI,SWIFT,20210223,hatchback,5,GRIJS,4,"1,328",M1
07BSHD,Bedrijfsauto,RENAULT,KANGOO 1.5 DCI 42KW,20141110,gesloten opbouw,2,N.v.t.,4,"1,461",N1
79NTP7,Personenauto,MINI,COOPER CLUBMAN,20220525,stationwagen,4,BRUIN,4,"1,598",M1
XG594D,Personenauto,BMW,418I,20190228,sedan,5,ORANJE,3,"1,499",M1
V743SJ,Bedrijfsauto,RENAULT,TRAFIC,20220525,gesloten opbouw,3,N.v.t.,4,"1,598",N1
KL341X,Personenauto,MERCEDES-BENZ,A 180,20220221,stationwagen,5,ZWART,4,"1,595",M1
61BSK7,Bedrijfsauto,MAN,TGX,20220323,opleggertrekker,2,N.v.t.,6,"12,419",N3
34ZSB9,Personenauto,PEUGEOT,3008,20220709,MPV,5,GRIJS,4,"1,598",M1
87GPS6,Personenauto,VOLVO,V70,20211007,stationwagen,5,GRIJS,5,"2,521",M1
NP878R,Personenauto,MERCEDES-BENZ,C 200 D,20170323,sedan,5,WIT,4,"2,143",M1
V680LR,Bedrijfsauto,CITROEN,JUMPY,20180221,gesloten opbouw,3,N.v.t.,4,"1,560",N1
RF617L,Personenauto,RENAULT,TALISMAN,20171113,stationwagen,5,BLAUW,4,"1,598",M1
ZG685D,Personenauto,SEAT,IBIZA,20200221,hatchback,5,ZWART,3,999,M1
3VLZ38,Bedrijfsauto,NISSAN,NAVARA 2.5 DCI KING CAB 4WD DPF,20180207,open wagen,2,N.v.t.,4,"2,488",N1
2KBJ43,Personenauto,RENAULT,MEGANE,20170630,stationwagen,5,GRIJS,4,"1,461",M1
FP234P,Bromfiets,KYMCO,SUPER8 50,20210423,N.v.t.,2,N.v.t.,1,50,L1
FV740S,Bromfiets,LIGIER,XTOO R,20220221,N.v.t.,2,N.v.t.,2,505,L6
6XTK19,Personenauto,VOLKSWAGEN,PASSAT,20220222,stationwagen,5,ZWART,4,"1,598",M1
ZL639K,Personenauto,RENAULT,MEGANE,20190705,stationwagen,5,BLAUW,4,"1,461",M1
61THNG,Personenauto,BMW,116I,20170616,stationwagen,5,GRIJS,4,"1,596",M1
TNK63X,Land- of bosbouwtrekker,NEW HOLLAND,T6080,20211018,Niet geregistreerd,,N.v.t.,,,T
65LRL4,Personenauto,SUZUKI,SWIFT,20180908,hatchback,5,ZWART,4,"1,328",M1
29XJSP,Personenauto,OPEL,VECTRA STATION WAGON,20200203,stationwagen,5,ZWART,4,"2,198",M1
45THKV,Personenauto,FORD,FIESTA,20190520,hatchback,5,BLAUW,4,"1,299",M1
85HTSZ,Personenauto,OPEL,CORSA-C,20130507,hatchback,5,GRIJS,4,"1,199",M1
HD191P,Personenauto,PEUGEOT,308,20201204,MPV,5,BLAUW,3,"1,199",M1
TPT46G,Land- of bosbouwtrekker,GIANT,V452T,20211102,Niet geregistreerd,,N.v.t.,,,T
99PNX1,Personenauto,RENAULT,TWINGO,20150526,hatchback,4,WIT,4,"1,461",M1
J828HN,Personenauto,TESLA,MODEL 3,20200814,sedan,5,ZWART,,,M1
64GGRL,Personenauto,OPEL,CORSA-B,20131122,hatchback,5,GRIJS,4,"1,199",M1
37HFN5,Personenauto,FIAT,FIAT PUNTO,20211008,MPV,4,WIT,4,"1,368",M1
1XGH82,Personenauto,SKODA,FABIA,20220703,hatchback,5,WIT,4,"1,598",M1
V257ND,Bedrijfsauto,OPEL,VIVARO-B,20180316,gesloten opbouw,5,N.v.t.,4,"1,598",N1
NJ262J,Personenauto,CITROEN,C4 CACTUS,20181123,hatchback,5,PAARS,3,"1,199",M1
TN535L,Personenauto,TESLA,MODEL X,20180915,MPV,6,GRIJS,,,M1
NG938V,Personenauto,ALFA ROMEO,ALFA GIULIETTA,20190719,MPV,5,WIT,4,"1,956",M1
6KKS39,Personenauto,KIA,SPORTAGE,20170708,MPV,5,GRIJS,4,"1,591",M1
GH150X,Personenauto,DACIA,LODGY,20220212,stationwagen,5,BLAUW,4,"1,197",M1
BZBB24,Bedrijfsauto,SCANIA,P 420 B 6X2*4,20110217,afneembare bovenbouw,2,N.v.t.,6,"11,705",N3
TZ274N,Personenauto,PEUGEOT,308,20181122,hatchback,5,ZWART,4,"1,499",M1
98TGF9,Personenauto,FORD,FIESTA,20150226,hatchback,5,BLAUW,4,"1,560",M1
63BNH5,Bedrijfsauto,DAF,CF 300 FAN,20190509,vuilniswagen,2,N.v.t.,6,"10,837",N3
42NZH9,Personenauto,NISSAN,NISSAN QASHQAI+2,20220612,MPV,7,ROOD,4,"1,598",M1
52KBS5,Personenauto,AUDI,AUDI A4,20170701,stationwagen,5,ZWART,4,"1,595",M1
34JTX7,Personenauto,MAZDA,MAZDA 6,20100930,stationwagen,5,GRIJS,4,"1,999",M1
30RZL4,Personenauto,AUDI,AUDI A4,20160301,sedan,5,GRIJS,4,"1,984",M1
SN276R,Personenauto,SEAT,ARONA,20220708,hatchback,5,BLAUW,3,999,M1
75KSX9,Personenauto,RENAULT,MEGANE SCENIC,20220709,MPV,7,GRIJS,4,"1,397",M1
71PKX5,Personenauto,FORD,KA,20131206,MPV,4,ZWART,4,"1,242",M1
XR275L,Personenauto,MERCEDES-BENZ,C 180 D,20211015,sedan,5,ZWART,4,"1,598",M1
VV220P,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20160425,gesloten opbouw,3,N.v.t.,4,"2,143",N1
1ZGH91,Personenauto,CITROEN,C4 CACTUS,20220219,hatchback,5,WIT,4,"1,560",M1
41SNG8,Personenauto,AUDI,AUDI A4 CABRIOLET,20220408,cabriolet,4,ZWART,6,"2,967",M1
2ZNZ98,Personenauto,BMW,218I ACTIVE TOURER,20150218,stationwagen,5,GRIJS,3,"1,499",M1
99DGFK,Personenauto,MERCEDES-BENZ,A 160,20060224,stationwagen,5,GRIJS,4,"1,598",M1
7ZNH97,Personenauto,JEEP,RENEGADE,20220708,MPV,5,ZWART,4,"1,368",M1
JJ137G,Personenauto,FORD,FOCUS,20181206,stationwagen,5,ZWART,3,999,M1
96PPG3,Personenauto,SUZUKI,SWIFT,20191115,hatchback,5,WIT,4,"1,242",M1
90SBZJ,Personenauto,MITSUBISHI,MITSUBISHI LANCER WAGON,20160330,stationwagen,5,GRIJS,4,"1,584",M1
PR243B,Personenauto,SEAT,LEON,20170824,stationwagen,5,PAARS,4,"1,395",M1
67TGBS,Personenauto,MERCEDES-BENZ,E 280 KOMBI U9,20080731,stationwagen,5,GRIJS,6,"2,799",M1
PX640V,Personenauto,JAGUAR,JAGUAR F-PACE,20171011,stationwagen,5,ZWART,4,"1,999",M1
XXFR82,Personenauto,MAZDA,MAZDA 121,20220222,hatchback,5,BLAUW,4,"1,299",M1
SG683F,Personenauto,TOYOTA,TOYOTA YARIS HYBRID,20180329,MPV,5,WIT,4,"1,497",M1
KS785T,Personenauto,NISSAN,NISSAN JUKE,20220525,MPV,5,WIT,4,"1,598",M1
61PVXV,Personenauto,FORD,FOCUS,20210421,stationwagen,5,GRIJS,4,"1,596",M1
TL501J,Personenauto,RENAULT,TWINGO,20181127,hatchback,4,ZWART,3,999,M1
KP598V,Personenauto,SEAT,LEON ST,20220221,stationwagen,5,GRIJS,4,"1,395",M1
28NXP2,Personenauto,PEUGEOT,PEUGEOT 107,20220131,hatchback,4,ZWART,3,998,M1
63SKKT,Personenauto,AUDI,AUDI A4,20191217,stationwagen,5,ZWART,4,"1,984",M1
39LRDK,Personenauto,PEUGEOT,307,20220709,stationwagen,7,ZWART,4,"1,587",M1
ZDPV47,Personenauto,AUDI,8D AUDI A4,19990521,sedan,5,GRIJS,6,"2,393",M1
RZ494G,Personenauto,SKODA,OCTAVIA,20180302,stationwagen,5,ZWART,4,"1,598",M1
26RGNF,Personenauto,VOLVO,V50,20170521,stationwagen,5,BLAUW,4,"1,997",M1
2TXZ18,Personenauto,SUBARU,LEGACY,20170721,stationwagen,5,WIT,4,"1,998",M1
4KFR58,Personenauto,PEUGEOT,PEUGEOT 107,20210529,hatchback,4,GRIJS,3,998,M1
ZH401J,Personenauto,RENAULT,CLIO,20190531,stationwagen,5,ZWART,3,898,M1
PX623S,Personenauto,WESTFALIA,COLUMBUS/AMUNDSEN,20210318,kampeerwagen,4,WIT,4,"2,287",M1
34XJVP,Personenauto,SKODA,FABIA,20070616,stationwagen,5,BEIGE,4,"1,390",M1
50TDH2,Personenauto,ADRIA MOBIL,========,20200424,kampeerwagen,5,WIT,4,"2,800",M1
16SLZX,Personenauto,VOLVO,V50,20170224,stationwagen,5,GRIJS,4,"1,798",M1
45SBH8,Personenauto,VOLKSWAGEN,POLO,20210504,hatchback,5,WIT,3,"1,199",M1
